dropped_ocid,kept_ocid,buyer_id,tender_title,date_published
ocds-dgv273-seacev3-1223823,ocds-dgv273-seacev3-1224786,PE-CONSUCODE-749,SIE-SIE-35-2026-OC-MPC-1,2026-06-09T22:10:00-05:00
ocds-dgv273-seacev3-1226612,ocds-dgv273-seacev3-1236308,PE-CONSUCODE-1053,CP-ABR-19-2026-COMITE-MDM-1,2026-06-19T16:22:00-05:00
ocds-dgv273-seacev3-1227547,ocds-dgv273-seacev3-1227841,PE-CONSUCODE-1894,INTER-PROC-13-2026-UNT-1,2026-06-22T15:21:00-05:00
ocds-dgv273-seacev3-1224414,ocds-dgv273-seacev3-1235004,PE-CONSUCODE-203066,CP CON-SM-1-2026-UNAT/-1,2026-06-11T15:14:00-05:00
ocds-dgv273-seacev3-1227270,ocds-dgv273-seacev3-1227840,PE-CONSUCODE-1894,INTER-PROC-12-2026-UNT/CS-1,2026-06-19T17:08:00-05:00
ocds-dgv273-seacev3-1247393,ocds-dgv273-seacev3-1228176,PE-CONSUCODE-1337,CP-ABR-3-2026-CE/MSI-1,2026-06-23T20:01:00-05:00
ocds-dgv273-seacev3-1237513,ocds-dgv273-seacev3-2026-200191-63,PE-CONSUCODE-200191,CP-ABR-17-2026-HDNA-1,2026-06-04T16:48:00-05:00
ocds-dgv273-seacev3-1247697,ocds-dgv273-seacev3-2026-2543-619,PE-CONSUCODE-2543,CP SER-SM-3-2026-ESSALUD/RAPI-1,2026-06-05T18:01:00-05:00
ocds-dgv273-seacev3-1242128,ocds-dgv273-seacev3-1215692,PE-CONSUCODE-10247,SIE-SIE-3-2026-EP/UO 0846-1,2026-06-04T23:20:00-05:00
ocds-dgv273-seacev3-1229849,ocds-dgv273-seacev3-1232891,PE-CONSUCODE-2397,LP-ABR-12-2026-SAN GABAN S.A.-1,2026-06-30T19:16:00-05:00
ocds-dgv273-seacev3-1241298,ocds-dgv273-seacev3-1225217,PE-CONSUCODE-1331,LP-ABR-10-2026-CS-MDPP-1,2026-06-15T12:42:00-05:00
ocds-dgv273-seacev3-1229812,ocds-dgv273-seacev3-1237528,PE-CONSUCODE-1300,LP-SM-2-2026-MDM/C-1,2026-06-30T19:55:00-05:00
ocds-dgv273-seacev3-1226411,ocds-dgv273-seacev3-1230874,PE-CONSUCODE-200098,LP-SM-2-2026-HJATCH-1,2026-06-17T21:29:00-05:00
ocds-dgv273-seacev3-1224664,ocds-dgv273-seacev3-1238411,PE-CONSUCODE-270,LP-SM-9-2026-MPS-C-1,2026-06-11T19:02:00-05:00
ocds-dgv273-seacev3-1242248,ocds-dgv273-seacev3-1222082,PE-CONSUCODE-10448,LP-ABR-11-2026-GERAGRI/C-2,2026-06-03T16:38:00-05:00
ocds-dgv273-seacev3-1246607,ocds-dgv273-seacev3-1221130,PE-CONSUCODE-746,LP-SM-1-2026-CS/MDCLR-1,2026-06-02T17:16:00-05:00
ocds-dgv273-seacev3-1220566,ocds-dgv273-seacev3-1224679,PE-CONSUCODE-1246,LP-ABR-2-2026-MDA/CS-1,2026-06-04T11:28:00-05:00
ocds-dgv273-seacev3-1240377,ocds-dgv273-seacev3-1221275,PE-CONSUCODE-37,LP-ABR-60-2026-GR CUSCO-2,2026-06-01T19:25:00-05:00
ocds-dgv273-seacev3-1229642,ocds-dgv273-seacev3-1239928,PE-CONSUCODE-10618,CP-ABR-5-2026-GRU-HRP-C-1,2026-06-22T16:51:00-05:00
ocds-dgv273-seacev3-1227540,ocds-dgv273-seacev3-1239928,PE-CONSUCODE-10618,CP-ABR-5-2026-GRU-HRP-C-1,2026-06-22T16:51:00-05:00
ocds-dgv273-seacev3-1244157,ocds-dgv273-seacev3-1241267,PE-CONSUCODE-200494,CP-ABR-4-2026-IVPSM/CS-2,2026-06-17T20:02:00-05:00
ocds-dgv273-seacev3-1226457,ocds-dgv273-seacev3-1241267,PE-CONSUCODE-200494,CP-ABR-4-2026-IVPSM/CS-2,2026-06-17T20:02:00-05:00
ocds-dgv273-seacev3-1225262,ocds-dgv273-seacev3-1225148,PE-CONSUCODE-200363,LP-SM-7-2026-CENARES/MINSA-1,2026-06-12T22:36:00-05:00
ocds-dgv273-seacev3-1225528,ocds-dgv273-seacev3-1233712,PE-CONSUCODE-10410,LP-SM-2-2026-DIRESA-APU-1,2026-06-16T15:17:00-05:00
ocds-dgv273-seacev3-1222206,ocds-dgv273-seacev3-1237617,PE-CONSUCODE-1307,LP-ABR-14-2026-MML-OGA-OL-1,2026-06-03T19:37:00-05:00
ocds-dgv273-seacev3-1224739,ocds-dgv273-seacev3-1240678,PE-CONSUCODE-1862,LP-ABR-2-2026-MDPH-CS-1,2026-06-17T19:31:00-05:00
ocds-dgv273-seacev3-1222916,ocds-dgv273-seacev3-1237492,PE-CONSUCODE-1526,CP-ABR-18-2026-MPT/OC-1,2026-06-05T17:11:00-05:00
ocds-dgv273-seacev3-1245828,ocds-dgv273-seacev3-1228190,PE-CONSUCODE-200370,LP-ABR-11-2026-GRA/REDHGA-OC-1,2026-06-23T19:40:00-05:00
ocds-dgv273-seacev3-1221928,ocds-dgv273-seacev3-1228857,PE-CONSUCODE-10502,CP SER-SM-2-2026-GERESA/LL-1,2026-06-03T18:14:00-05:00
ocds-dgv273-seacev3-1246186,ocds-dgv273-seacev3-1228857,PE-CONSUCODE-10502,CP SER-SM-2-2026-GERESA/LL-1,2026-06-03T18:14:00-05:00
